"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Similarity Match","No. Near Duplicates","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.dlc.link/zh","90","46","1.957","100.000","Very Easy","","","","","","","2cd2b5bca26d7e00bdd0c52c2da80361","Indexable",""
"https://www.dlc.link/zh/blog/fang-dao-de-bi-te-bi-qiao-liang","106","70","1.514","100.000","Very Easy","","","","","","","d8eecd9ed91b1d8da8a1a845a41d5f98","Indexable",""
"https://www.dlc.link/zh/brand-kit","75","24","3.125","100.000","Very Easy","","","","","","","6086909858aacc00fde3c5a391939df","Indexable",""
"https://www.dlc.link/zh/platform","61","29","2.103","100.000","Very Easy","","","","","","","2164f47646ea70cb6fd666068c04811","Indexable",""
"https://www.dlc.link/zh/blog/dlcbtc-he-dlcbtc-de-cheng-dui-shang-wang-luo","162","132","1.227","100.000","Very Easy","","","","","","","cc4bb4eaab2e0ce1178ce821bc819bc0","Indexable",""
"https://docs.dlc.link/architecture/generic-use-cases","246","48","5.125","32.433","Hard","","","","","","","4cab5735686880a66dab8810ad4c842c","Indexable",""
"https://docs.dlc.link/architecture/tech-stack","1604","266","6.030","67.327","Normal","","","","","","","d8bfd9a988b2f8329d85137232c434b6","Indexable",""
"https://docs.dlc.link/the-team","341","63","5.413","50.748","Fairly Hard","","","","","","","ca700bbf37707fdd759e2c04282922b1","Indexable",""
"https://www.dlc.link/media?279a5c96_page=2","743","206","3.607","68.019","Normal","","","","","","","f41660619ca46c999f4276100fa14314","Indexable",""
"https://docs.dlc.link/zhong-wen/tuan-dui","64","32","2.000","36.927","Hard","","","","","","","8b1df44dfa23b353047d0cdc1ecc098d","Indexable",""
"https://www.dlc.link/zh/about-us","123","50","2.460","100.000","Very Easy","","","","","","","b95a95784521b487f9e4ec7d12debbae","Indexable",""
"https://docs.dlc.link/jia-gou/ji-shu-jia-gou","141","134","1.052","100.000","Very Easy","","","","","","","f47765b64570fc5bce47e6f12ce83213","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup","52","18","2.889","68.868","Normal","","","","","","","82b65d7d5260879a31e85483d86f08e4","Indexable",""
"https://docs.dlc.link/zhong-wen/dlcbtc-gai-lan","93","61","1.525","100.000","Very Easy","","","","","","","50052d2622012a5661b952d39c62e59a","Indexable",""
"https://docs.dlc.link/resources","114","41","2.780","80.081","Easy","","","","","","","58ab0f3435bd3fa729f0f680a910846","Indexable",""
"https://www.dlc.link/zh/media","150","83","1.807","100.000","Very Easy","","","","","","","811b402741021d03469519f92b275fd8","Indexable",""
"https://www.dlc.link/zh/glossary","1112","237","4.692","62.772","Normal","","","","","","","6df65f43c3afc8066fc6a7856b11b009","Indexable",""
"https://www.dlc.link/media?279a5c96_page=3","765","209","3.660","70.414","Fairly Easy","","","","","","","fc455742238c52ae681bba37cd2284b2","Indexable",""
"https://www.dlc.link/media?279a5c96_page=1","724","205","3.532","72.144","Fairly Easy","","","","","","","c562bb5b66e80bd81c679fdbf509e173","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/bi-te-bi-qian-bao","275","105","2.619","66.048","Normal","","","","","","","71c04c67c80735fc9e8788e1101cb8a9","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/code-repository","77","23","3.348","58.408","Fairly Hard","","","","","","","a69a26d7214f05434f312c23d2d29f97","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/dai-ma-cun-chu-ku","35","21","1.667","81.869","Easy","","","","","","","714d8b49b2935f54be24883cd12d259a","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/dlc-attestors","455","94","4.840","63.029","Normal","","","","","","","47ccb21c245132f677b2242f5c7f6dd7","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/solidity","304","64","4.750","85.689","Easy","","","","","","","b115678aa79133c82dcbc5804d2ddd8a","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/nft-token-functions","454","72","6.306","86.579","Easy","","","","","","","54c9c1fc7c692ae43180c214b8ca5395","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/stacks-clarity","306","68","4.500","55.462","Fairly Hard","","","","","","","a20b0a1bb07ceff2406627727d2f597c","Indexable",""
"https://www.dlc.link/zh/joinourtestnet","30","15","2.000","100.000","Very Easy","","","","","","","a945a588274dfae4e5f18b49a775e9e6","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/solidity","352","66","5.333","84.616","Easy","","","","","","","73fe70c65762606d8d1537b85777fdbe","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/dlc-ren-zheng-ren","89","63","1.413","100.000","Very Easy","","","","","","","a7ee503392cc1c000feabff086222299","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/stacks-clarity","163","55","2.964","50.716","Fairly Hard","","","","","","","a5efc163303f16b341d78290ee10bb24","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/bitcoin-wallets","830","146","5.685","67.743","Normal","","","","","","","c591d2adfef6774ec63eea9aebe7d6f","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/nft-token-functions","48","35","1.371","100.000","Very Easy","","","","","","","1744ed9ba93b07a670cab332a4d909b","Indexable",""
"https://www.dlc.link/media?279a5c96_page=4","764","208","3.673","70.449","Fairly Easy","","","","","","","d43ddf5b2779dc7f5341e421de5a0324","Indexable",""
"https://www.dlc.link/media?279a5c96_page=5","697","205","3.400","73.632","Fairly Easy","","","","","","","8f787f926be6052bd84bd7e4aebe9b3a","Indexable",""
"https://www.dlc.link/media?279a5c96_page=6","624","186","3.355","73.276","Fairly Easy","","","","","","","52abb782543c19de8a7c07c15669ebe0","Indexable",""
